Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1132-18F1,C(CN(c1ccc(/C=C/c2nc3ccccc3o2)cc1)C)F,0.56,0.74,0.44,,0.51,,0.49,0.5,0.51,0.28,0.32,0.37,,
1133-18F1a,c1cc(-c2cn(CCF)nc2-c2ccc(OCc3ccc4c(cccc4)n3)cc2)ccn1,,,,,,,,,,,,,,
1133-18F3,c1cc(-c2cn(CCF)nc2-c2ccc(OCc3c(C)cc(C)cn3)cc2)ccn1,,,,,,,,,,,,,,
1133-18F4,c1cc(-c2cn(CCF)nc2-c2ccc(OCc3ccc(OC)cn3)cc2)ccn1,,,,,,,,,,,,,,
1134-20-18F,C[C@]12CCC3C4CCC(=O)C=C4C[C@@H](C)C3C1CC[C@@]2(O)CF,0.159,0.197,,0.264,,,0.753,1.839,0.3,0.177,,0.17,,
1135-18F11,C1=CC2=C3CCC(=O)C=C3CCC2C2C1[C@](O)(CF)CC2,0.234,0.182,,0.334,,,0.691,1.475,0.286,0.218,,0.192,,
1135-18F2,C[C@]12CCC3[C@@]4(C)CCC(=O)CC4CCC3C1C[C@H](F)[C@@H]2O,0.083,1.862,,0.04,,,0.288,0.514,0.119,0.055,,0.094,,
1135-18F4,C[C@]12CCC3[C@@]4(C)CCC(=O)C=C4CCC3C1C[C@H](F)[C@@H]2O,0.137,2.12,,0.071,,,0.369,0.848,0.134,0.071,,0.075,,
1135-18F6,C[C@]12CCC3[C@H]4CCC(=O)C=C4C[C@@H](C)C3C1C[C@H](F)[C@@]2(O)C,0.158,0.353,,0.413,,,0.554,1.323,0.24,0.18,,0.147,,
1135-18F7,C[C@]12CCC3[C@H]4CCC(=O)C=C4C[C@@H](C)C3C1C[C@H](F)[C@@H]2O,0.124,1.853,,0.104,,,0.431,0.519,0.164,0.111,,0.1,,
1135-18F9,C[C@]12CCC3[C@H]4CCC(=O)C=C4C[C@@H](C)C3C1C[C@@H](F)[C@@H]2O,0.149,0.268,,0.148,,,0.962,0.991,0.141,0.082,,0.059,,
1136-18F10,C(C([C@]1(O)[C@@]2(C)CCC3[C@@]4(C)CCC(=O)C=C4CCC3C2CC1)=O)F,,,,,,,,,,,,,,
1136-18F11,C(C([C@]1(O)[C@@]2(C)C[C@H](O)C3[C@@]4(C)CCC(=O)C=C4CCC3C2CC1)=O)F,,,,,,,,,,,,,,
1136-18F15,C(C([C@]12[C@@]3(C)C[C@H](O)[C@]4(F)[C@@]5(C)C=CC(=O)C=C5CCC4C3CC1OC(C)(C)O2)=O)F,0.195,1.43,0.058,,,,,,,,,,,
1136-18F2,C1(=O)CC[C@]2([C@@]3(C)CCC4[C@@]5(C)CCC(=O)C=C5C[C@H](CCCF)C4C3CC2)O1,,,,,,,,,,,,,,
1136-18F5,C[C@]12C[C@H](O)C3[C@@]4(C)C=CC(=O)C=C4C(C)=CC3C1CC[C@@]2(O)C#CCF,,,,,,,,,,,,,,
1137-18Fendo10a,C(C([C@]12[C@@]3(C)CCC4[C@H]5CCC(=O)C=C5CCC4C3C[C@H]1OC(c1occc1)O2)=O)F,0.38,1.11,0.57,2.16,,,1.66,2.4,2.38,0.59,,,,6.8
1137-18Fendo10b,C(C([C@]12[C@@]3(C)CCC4[C@H]5CCC(=O)C=C5CCC4C3C[C@H]1OC(c1occc1)(C)O2)=O)F,0.32,1.15,0.58,2.86,,,1.59,1.26,1.92,0.64,,,,6.51
1141A-18F2a,C[C@]12CCC3c4cc(F)c(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.1,0.1,0.06,0.48,,,0.59,1.46,0.12,0.1,,0.14,,3.25
1141A-18F2b,C[C@]12CCC3c4ccc(O)c(F)c4CCC3C1C[C@@H](F)[C@@H]2O,0.24,0.24,0.09,0.73,,,1.33,1.51,0.37,0.24,,0.43,,9.41
1141A-18F2c,C[C@]12C[C@H](OC)C3c4cc(F)c(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.12,0.13,0.05,0.29,,,1.36,1.05,0.23,0.19,,0.25,,9.06
1141A-18F2d,C[C@]12C[C@H](OC)C3c4ccc(O)c(F)c4CCC3C1C[C@@H](F)[C@@H]2O,0.11,0.23,0.09,0.36,,,1.16,1.01,0.31,0.3,,0.27,,14.66
1141A-18F2e,C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.19,0.3,0.08,0.67,,,1.71,1.4,0.38,0.33,,0.36,,11.75
1141A-18F2f,C[C@]12C[C@H](OC)C3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.15,0.23,0.08,0.36,,,3.25,3.28,0.35,0.32,,0.26,,13.59
1143-18F6,c1c(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)nc(NCc2cnc3c(c(=O)[nH]c(N)n3)n2)c1,0.55,1.57,,,1.89,1.9,53.6,10.59,1.52,1.24,,1.85,2.83,
1145A-11C3,c1cc(OC)cc(-c2cc3c(o2)nc(=O)n(C2CC(O)C(CO)O2)c3)c1,0.2,,0.0,,0.0,63.7,0.3,3.7,0.0,,,0.1,,
1145A-18F2,c1cc(OCCF)cc(-c2cc3c(o2)nc(=O)n(C2CC(O)C(CO)O2)c3)c1,0.4,,0.0,,0.0,60.5,1.2,4.4,0.1,,,0.1,,
1146A-11C4,c1c(OC)ccc(-c2cc3c(o2)nc(=O)n(C2CC(O)C(CO)O2)c3)c1,0.6,,0.0,,0.0,46.7,1.4,9.9,0.1,,,0.4,1.0,
1146A-18F5,c1c(OCCF)ccc(-c2cc3c(o2)nc(=O)n(C2CC(O)C(CO)O2)c3)c1,1.5,,0.0,,0.1,44.3,1.1,4.3,0.2,,,1.1,1.1,
1148-18F3e,c1cc(/C=C/c2ccc(OCC(CF)CO)cc2)ccc1N(C)C,1.51,6.5,2.97,,1.45,,2.97,13.46,5.0,1.22,,1.24,,
1148-18F4e,c1cc(/C=C/c2ccc(OCC(CF)CO)cc2)ccc1NC,1.82,5.3,0.72,,1.54,,3.06,14.58,7.51,0.85,,1.37,,
1149-18F22,c1cc(CC(C(=O)O)OCCF)ccc1OCCN(c1nc2ccccc2o1)C,0.205,0.0329,0.0089,0.0726,0.0748,,0.87,3.64,0.131,0.0335,,0.046,,
1153B-F18,C(=O)[C@H](O)[C@@H](F)[C@H](O)[C@H](O)CO,2.14,3.41,1.64,,10.1,,2.18,2.26,2.78,2.11,,2.08,,
1158-3-18FFNNDI,[C@@H]12C(=O)N(c3cc(F)c([N+](=O)[O-])c4c3cccc4)C(=O)[C@@H]1C1C=CC2C1,0.093,6.3,,,,,0.22,0.16,,0.049,,,,
1161-18F17,CCOC(=O)CCC(C)CCCCF,0.45,1.79,0.36,,0.36,,0.57,0.32,,,,,,
1161-18F18,COC(=O)CCC(C)(C)CCCCF,,,,,,,,,,,,,,
1161-18F19,OC(=O)CCC(C)CCCCF,,,,,,,,,,,,,,
1161-18F22,OC(=O)CCC(F)CCCC,0.47,0.84,0.13,,0.24,,0.93,0.33,,,,,,
1161-18F26,OC(=O)CC(F)CCCCC,,,,,,,,,,,,,,
1162-2-18FEtOH,OCCF,6.84,4.78,7.33,,6.46,,5.83,5.26,6.13,5.23,3.94,5.57,3.78,5.59
1162-3-18FPrOH,OCCCF,1.69,31.3,2.56,,2.29,,1.33,1.69,1.48,1.96,0.53,1.01,1.05,1.45
1163-15a,N(C[C@@H]1CCCN1CCF)C(=O)c1c(OC)c(Cl)cc(Cl)c1O,,,,,,,,,,,,,,
1163-15b,N(C[C@@H]1CCCN1CCCF)C(=O)c1c(OC)c(Cl)cc(Cl)c1O,0.05,0.54,0.04,,,,,,,,,,,
1163-15c,N(C[C@@H]1CCCN1CCCCF)C(=O)c1c(OC)c(Cl)cc(Cl)c1O,0.06,0.39,0.06,,,,,,,,,,,
1164-1,C[C@H](c1ccccc1)n1cncc1C(=O)OCCF,0.86,0.71,0.72,0.2,0.81,0.83,0.85,0.62,1.26,0.57,0.62,0.62,,
1164-2,C[C@H](c1ccccc1)n1cncc1C(=O)OCCF,0.67,0.42,0.56,0.28,0.66,0.87,0.66,0.5,2.23,0.46,0.88,0.5,,
1164-3,C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCF,0.54,0.99,0.45,0.28,0.54,0.8,0.54,0.53,1.99,0.34,1.13,0.38,,
1164-4,C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCCF,0.24,3.65,0.12,0.36,0.16,0.55,0.5,0.4,2.3,0.15,0.42,0.15,,
1166-18F14,N1C(=O)/C(=C\c2ccc(F)cc2)c2ccccc21,,0.11,0.2,,0.08,30.16,0.91,5.98,0.19,,0.07,0.04,0.6,
1170A-18FRU52461,CCCC1=CC2C(C(O)CC3(C)C2CC[C@@]3(O)C#CCF)C2(C)C=CC(=O)C=C12,0.26,,0.05,,0.25,,0.61,1.13,0.34,0.17,,,,
1170B-18F10,C1C[C@@]2(C)C(CC[C@@H]2C(=O)CF)C2CCC3=CC(=O)CC[C@]3(C)C12,,,,,,,,,,,,,,
1170B-18F11,C1C[C@@]2(C)C(CC[C@@H]2C(=O)CF)C2CCC3=CC(=O)CC[C@]3(C)C12,,,,,,,,,,,,,,
1170B-18F15,CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CF)O1,0.195,1.43,0.058,,,,,,,,,,,
1170B-18F2,C[C@]12CCC3C(C1CC[C@@]21CCC(=O)O1)[C@H](CCCF)CC1=CC(=O)CC[C@]31C,,,,,,,,,,,,,,
1170B-18F5,CC1=CC2C3CC[C@@](O)(C#CF)[C@@]3(C)C[C@H](O)C2[C@@]2(C)C=CC(=O)C=C12,,,,,,,,,,,,,,
1172-18F1a,CN(CCF)c1ccc(-c2cc3ccccc3[nH]2)cc1,4.37,9.71,2.77,,3.81,11.04,3.54,4.15,3.57,,,2.71,1.09,
1176-11C4,COc1ccc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,72.5,,0.3,,0.5,12.4,4.1,9.2,4.2,,,0.8,2.6,
1176-11C6,COc1ccc(S(N)(=O)=O)cc1,49.7,,1.5,,0.4,19.3,4.1,6.1,3.1,,,2.3,2.4,
1176-18F3,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(OCCF)cc2)cc1,31.7,,0.2,,0.2,18.6,2.8,8.3,0.7,,,0.9,1.9,
1176-18F5,NS(=O)(=O)c1ccc(OCCF)cc1,71.0,,1.0,,0.6,9.6,3.7,4.0,1.8,,,0.9,4.2,
1181A-18F1,c1cc(Nc2c3cc(OC)c(OC)cc3ncn2)ccc1F,0.79,,0.14,,0.81,,1.47,0.97,0.9,,,,,
1181A-18F4,c1c(F)c(Nc2c3cc(OC)c(OC)cc3ncn2)cc(Cl)c1Cl,,,,,,,,,,,,,,
1182-18F2a,c1c(F)ccc(CC2CCN(Cc3[nH]c4ccc(O)cc4n3)CC2)c1,,,,,,,,,,,,,,
1182-18F6b,C1C(Cc2ccc(F)cc2)CCNC1,,,,,,,,,,,,,,
1184-18F24a,CNc1ccc(-c2oc3ccc(OCCOCCOCCF)cc3n2)cc1,4.87,5.78,3.04,,4.32,23.91,5.4,13.06,5.22,,,3.42,1.87,
1184-18F32a,CN(c1ccc(-c2oc3ccc(OCCOCCOCCF)cc3n2)cc1)C,3.33,3.45,2.12,,3.13,15.82,3.68,6.92,3.22,,,2.25,1.41,
1187A-18F5a,c1cc(N(CCN2CCN(c3c(OC)cccc3)CC2)C(C23CCC(CF)(CC2)C3)=O)ncc1,,,,,,,,,,,,,,
1187A-18F5b,c1cc(N(CCN2CCN(c3c(OC)cccc3)CC2)C(C23C4C5C2C2C3C4C52CF)=O)ncc1,,,,,,,,,,,,,,
1187A-18F5c,c1cc(N(CCN2CCN(c3c(OC)cccc3)CC2)C(C23CCC(CF)(CC2)CC3)=O)ncc1,,,,,,,,,,,,,,
"1192B-18F-(2S,4R)4F-GLN",C(=O)(N)[C@@H](C[C@@H](C(=O)O)N)F,0.32,1.03,0.13,,0.35,,0.76,0.66,0.41,0.38,1.36,0.53,,
"1192B-18F-(2S,4R)4F-GLU",C(=O)(O)[C@@H](C[C@@H](C(=O)O)N)F,0.17,2.03,0.05,,0.09,,0.99,0.39,0.17,0.03,0.13,0.34,,
1198-5-HT1A,c1cc(N2CCN(CCNC(c3ccc(CF)cc3)=O)CC2)nc(CC(F)(F)F)c1,0.538,,0.452,,,,,,,,,,,
1199-18F18E,CC(CCCCF)(CCC(=O)OCC)C,0.45,1.79,0.36,,0.36,,0.57,0.32,,,,,,
1199-18F18M,CC(CCCCF)(CCC(=O)OC)C,,,,,,,,,,,,,,
1199-18F19,CC(CCCCF)CCC(=O)O,,,,,,,,,,,,,,
1199-18F22,C(CC)CC(CCC(=O)O)F,0.47,0.84,0.13,,0.24,,0.93,0.33,,,,,,
1199-18F26,C(CC(=O)O)(CCCCC)F,,,,,,,,,,,,,,
1200-11C-4a,c1ccc(CC(C)NC)cc1,0.38,,1.81,,0.87,,5.04,4.06,4.26,,,3.57,,
1200-11C-4b,c1c2c(ccc1CC(NC)C)OCO2,0.59,,0.39,,0.42,,2.44,0.87,0.99,,,0.8,,
1200-18F-2a,c1cccc(F)c1CC(C)N,0.48,0.88,1.43,,0.53,,4.14,3.95,6.29,,,1.47,,
1200-18F-2b,C1Oc2cc(CC(C)N)c(F)cc2O1,0.52,0.5,1.23,,0.66,,3.73,3.83,2.71,,,2.28,,
1201-131I-antipyrine,c1(=O)c(I)c(C)n(C)n1-c1ccccc1,,,,,,,,,,,,,,
1201-18F-antipyrine,c1(=O)cc(C)n(C)n1-c1ccc(F)cc1,,,,,,,,,,,,,,
1202-15a,C1CCN(CCF)[C@@H]1CNC(c1c(OC)c(Cl)cc(Cl)c1O)=O,,,,,,,,,,,,,,
1202-15b,C1CCN(CCCF)[C@@H]1CNC(c1c(OC)c(Cl)cc(Cl)c1O)=O,0.05,0.54,0.04,,,,,,,,,,,
1202-15c,C1CCN(CCCCF)[C@@H]1CNC(c1c(OC)c(Cl)cc(Cl)c1O)=O,0.06,0.39,0.06,,,,,,,,,,,
1204A-cis-18F-FPro,C1[C@H](F)CN[C@@H]1C(=O)O,3.24,3.34,0.33,,2.3,,34.6,7.2,3.56,1.47,30.2,4.17,,
1204A-trans-18F-FPro,C1[C@@H](F)CN[C@@H]1C(=O)O,4.62,3.35,0.88,,4.82,,6.57,4.58,5.25,4.12,13.0,5.07,,
1205-18F2a,C1CCN(CCF)C1CNC(c1c(OC)c(Cl)cc(CC)c1O)=O,0.25,0.15,0.21,,0.24,,0.5,1.55,0.46,,,,,
1205-18F3a,C1CCN(CCCF)C1CNC(c1c(OC)c(Cl)cc(CC)c1O)=O,0.09,0.35,0.19,,0.15,,0.46,0.96,0.87,,,,,
1205-18F4a,C1[C@H](F)CN(CC)C1CNC(c1c(OC)c(Cl)cc(CC)c1O)=O,0.14,0.66,0.15,,0.14,,0.38,2.14,0.31,,,,,
1208-18F-FTMA,c1c(-c2ccc(F)cc2)ccc([N+](C)(C)C)c1,0.11,0.18,0.01,,0.48,,1.14,1.31,0.23,0.33,,0.55,,
1209A-18F-2a,C[C@]12CCC3c4cc(F)c(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.1,0.1,0.06,0.48,,,0.59,1.46,0.12,0.1,,0.14,,3.25
1209A-18F-2b,C[C@]12CCC3c4ccc(O)c(F)c4CCC3C1C[C@@H](F)[C@@H]2O,0.24,0.24,0.09,0.73,,,1.33,1.51,0.37,0.24,,0.43,,9.41
1209A-18F-2c,C[C@]12C[C@H](OC)C3c4cc(F)c(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.12,0.13,0.05,0.29,,,1.36,1.05,0.23,0.19,,0.25,,9.06
1209A-18F-2d,C[C@]12C[C@H](OC)C3c4ccc(O)c(F)c4CCC3C1C[C@@H](F)[C@@H]2O,0.11,0.23,0.09,0.36,,,1.16,1.01,0.31,0.3,,0.27,,14.66
1209A-18F-2e,C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.19,0.3,0.08,0.67,,,1.71,1.4,0.38,0.33,,0.36,,11.75
1209A-18F-2f,C[C@]12C[C@H](OC)C3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,0.15,0.23,0.08,0.36,,,3.25,3.28,0.35,0.32,,0.26,,13.59
1210-18F 4-PBFPB,c1cc(F)ccc1C(C1CCN(CCCCc2ccccc2)CC1)=O,,,4.07,,,,,,,,,,,
1211-18F,C1CN(c2ccc(NC(=O)N[C@@H]3c4c(Cl)cc(Cl)cc4N[C@@H](C(O)=O)C3)cc2)CCN1CCF,0.08,0.45,0.03,,,,0.73,1.12,,,,,,
1213-18F-L-FPTP,c1c2c(ccc1OCCCF)[nH]cc2C[C@H](N)C(C)=O,2.22,0.99,0.91,,1.91,2.06,2.95,3.2,1.76,1.57,3.05,,1.69,
1215-18F29,c1cc(OCCOCCOCCF)cc2c1oc(-c1cnc(NC)cc1)n2,2.74,3.93,1.78,,2.5,25.16,2.54,4.21,2.34,,,1.79,12.02,
1215-18F31,c1cc(OCCOCCOCCF)cc2c1oc(-c1cnc(N(C)C)cc1)n2,2.87,6.39,1.82,,2.73,28.54,3.21,3.46,1.87,,,2.34,6.45,
1215-18F32,c1cc(OCCF)cc2c1oc(-c1cnc(NC)cc1)n2,3.2,2.37,1.55,,2.05,39.05,3.04,2.64,2.57,,,1.64,3.89,
1215-18F33,c1cc(OCCF)cc2c1oc(-c1cnc(N(C)C)cc1)n2,2.06,1.88,1.47,,1.93,37.02,1.82,3.19,1.79,,,1.32,2.79,
1215-18F41,c1cc(OCCOCCOCCF)cc2c1nc(-c1cnc(NC)cc1)s2,2.94,1.42,1.26,,1.85,18.6,2.66,4.12,1.93,,,1.49,8.78,
1215-18F43,c1cc(OCCOCCOCCF)cc2c1nc(-c1cnc(N(C)C)cc1)s2,3.79,1.58,1.84,,2.02,26.66,3.01,4.75,2.33,,,1.47,11.34,
1215-18F44,c1cc(OCCF)cc2c1nc(-c1cnc(NC)cc1)s2,4.45,6.7,2.83,,3.7,19.0,3.45,3.06,2.72,,,2.86,3.67,
1221-18F-23,c1c(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c(OC)c(OC)cc1,0.043,,0.36,,,,,,,,,,,
1221-18F-26b,C(c1ccc(F)cc1)N1C2CC(NC(c3cccc(OC)c3OC)=O)CC1CCC2,0.044,,0.23,,,,,,,,,,,
1221-18F-34,C(c1ccc(F)cc1)N1CCC(NC(c2cc(Br)cc(OC)c2OC)=O)CC1,0.025,,0.2,,,,,,,,,,,
1230A-18F-FU,c1(=O)c(F)c[nH]c(=O)[nH]1,,,,,,,,,,,,,,
1230C-18F-5-FU,c1c(F)c(=O)[nH]c(=O)[nH]1,0.65,0.64,,,0.49,,6.2,7.56,0.73,0.42,,0.77,0.68,
1230D-18F-FU,c1(=O)c(F)c[nH]c(=O)[nH]1,1.23,0.94,,,0.97,,9.16,10.3,1.35,0.41,,1.72,1.38,
1230D-18F-FUOH,C1(=O)C(F)C(O)NC(=O)N1,2.15,1.58,,,1.73,,5.52,24.69,2.09,2.07,,1.34,1.8,
1230D-cis-18F-FUOEt,C1(=O)[C@@H](F)[C@@H](OCC)NC(=O)N1,3.11,2.86,,,3.06,,5.02,5.93,3.22,3.29,,2.9,2.88,
1233-5-18F-ADAM,CN(Cc1c(Sc2c(N)ccc(F)c2)cccc1)C,0.077,0.317,0.09,,0.078,,0.395,0.497,0.339,0.12,,0.137,,
1234-fluorocyclocytidin,c1(=N)ccn2c(n1)O[C@H]1[C@@H]2O[C@@H](CO)[C@@H]1O,,,,,,,,,,,,,,
1234-fluorocytosine.arabinoside,c1(N)ccn([C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O2)c(=O)n1,,,,,,,,,,,,,,
1236-18F-5-MFHA,C(CCCCCCCCCCCC(C)CCCC(=O)O)F,0.35,0.71,0.15,,1.19,,0.76,1.41,1.04,,,,,
1236-3-MFHA,C(CCCCCCCCCCCCCC(C)CC(=O)O)F,0.33,0.98,0.18,,1.09,,0.63,1.14,0.4,,,,,
1236-FPA,C(CCCCCCCCCCCCCCC(=O)O)F,0.31,1.82,0.22,,0.51,,1.0,1.19,0.8,,,,,
1237-18F-3,[C@H]1(N2CC(C#Cc3ccc(-c4ccc(OCCF)cc4)cc3)C(=O)NC2=O)C[C@H](O)[C@@H](CO)O1,8.9,,0.5,,,,5.0,,,,,,,
1238-18F-1,C12=CC(=O)CC[C@@]1(C)C1C(C[C@H]2F)C2[C@@](C)(CC1)[C@H](C(=O)C)CCC2,0.447,,0.335,2.153,,,1.874,3.797,0.596,0.417,,,,0.775
1240-18F8a,c1c2c(cc(OCCF)c1)c(=O)cc(-c1ccc(N(C)C)cc1)o2,3.25,6.21,2.19,,,,,,,,,,,
1240-18F8b,c1c2c(cc(OCCOCCF)c1)c(=O)cc(-c1ccc(N(C)C)cc1)o2,2.94,3.74,2.13,,,,,,,,,,,
1240-18F8c,c1c2c(cc(OCCOCCOCCF)c1)c(=O)cc(-c1ccc(N(C)C)cc1)o2,1.88,5.21,1.37,,,,,,,,,,,
1243-18F5,O=C(NCCF)c1c[nH]c2ccc(Cc3ccccc3)cc2c1=O,0.7,1.4,0.0,0.3,0.1,,0.5,4.8,0.1,4.6,,0.0,0.2,
1247-618FFFuc,CC1(O)OC(C)(CF)C(C)(O)C(C)(O)C1(C)O,0.38,,0.07,,0.3,,5.48,1.1,0.46,0.14,0.4,0.38,,
1251-11CPIB,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,1.1,,0.31,,2.1,,9.1,5.0,1.3,,,0.7,,
1251-18F2,Nc1ccc2nc(-c3ccc(F)cc3)sc2c1,0.6,,1.34,,0.7,,1.8,5.6,1.2,,,1.1,,
1251-18F3,CN(C)c1ccc2nc(-c3ccc(F)cc3)sc2c1,0.9,,1.26,,1.0,,4.6,8.3,1.4,,,0.9,,
1251-18F6,CN(C)c1ccc2nc(-c3ccc(F)cc3)sc2c1,,,2.24,,1.3,,6.5,8.0,1.9,,,1.0,,
1251-18FKS28,Cc1ccc2nc(-c3ccc(F)cc3)sc2c1,1.1,,0.39,,0.5,,3.6,24.6,1.3,,,0.4,,
1253A-18FDFA,O=C1OC(C(O)CF)C(O)=C1O,,,,,,,,,,,,,,
1255-618FFDF,OCC1(O)O[C@H](CF)[C@@H](O)C1O,,,,,,,,,,,,,,
1256-11C4a,CNC(C)Cc1ccccc1,0.38,,1.81,,0.87,,5.04,4.06,4.26,,,3.57,,
1256-11C4b,CNC(C)Cc1ccc2c(c1)OCO2,0.59,,0.39,,0.42,,2.44,6.87,0.99,,,0.8,,
1256-18F2a,CC(N)Cc1ccc(F)cc1,0.48,,1.43,,0.53,,4.14,3.95,6.29,,,1.47,,
1256-18F2b,Cc1c(CC(C)N)cc2c(c1)OCO2,0.52,0.5,1.23,,0.66,,3.73,3.83,2.71,,,2.28,,
1257-18FI,Fc1ncnc2c1ncn2Cc1ccccc1,0.38,9.86,3.96,,0.32,,1.66,0.18,0.29,0.28,,,,
1261-18F8a,c1cc(-c2cc(=O)c3c(ccc(OCCF)c3)o2)ccc1N(C)C,3.25,6.21,2.19,,,,,,,,,,,
1261-18F8b,c1cc(-c2cc(=O)c3c(ccc(OCCOCCF)c3)o2)ccc1N(C)C,2.94,3.74,2.13,,,,,,,,,,,
1261-18F8c,c1cc(-c2cc(=O)c3c(ccc(OCCOCCOCCF)c3)o2)ccc1N(C)C,1.88,5.21,1.37,,,,,,,,,,,
1262D-4-18F-FMR,[C@H]([C@H](C)N)(c1cc(O)c(F)cc1)O,,,,,,,,,,,,,,
1262D-6-18F-FMR,[C@H]([C@H](C)N)(c1cc(O)ccc1F)O,,,,,,,,,,,,,,
1262E-1R2R-3T,[C@@H](c1cc(O)c(F)cc1)([C@H](C)N)O,,,,,0.26,,,,0.6,,,0.28,,
1262E-1R2S-3E,[C@@H](c1cc(O)c(F)cc1)([C@@H](C)N)O,,,,,1.64,,,,0.39,,,0.73,,
1262E-1S2R-3E,[C@H](c1cc(O)c(F)cc1)([C@@H](C)N)O,,,,,0.13,,,,0.41,,,0.15,,
1262E-1S2S-3T,[C@H](c1cc(O)c(F)cc1)([C@H](C)N)O,,,,,1.54,,,,0.75,,,0.64,,
1266-6-18F-FPCV,C1(F)=NC(N)Nc2c1ncn2CCC(CO)CO,0.27,7.6,0.06,,0.31,0.79,0.41,0.3,0.21,0.37,0.21,0.17,0.21,
1268-18F-IV,C(COc1cc2c(cc1OC)c(N1C[C@H](Oc3cnc4c(cccc4)n3)CC1)ncn2)F,2.59,2.95,1.14,,2.16,42.8,4.29,14.5,2.37,1.22,2.77,2.3,12.6,
1270-18F37aMe16bFEES,C[C@]12CCC3c4ccc(O)cc4CC(C)=C3C1C[C@H](F)[C@@H]2O,0.443,0.336,,0.698,,,1.379,1.889,,0.231,,0.178,,4.397
1270-18F47aMe16bFEES,C[C@]12CCC3c4ccc(O)cc4CC(C)=C3C1C[C@H](F)[C@@]2(O)C#C,0.07,,,,,,0.659,2.118,,0.189,,0.17,,
1270-18F57aMe16bFEES,C[C@]12CCC3c4ccc(O)cc4CC(C)=C3C1C[C@@H](F)[C@@H]2O,0.689,0.345,,0.728,,,4.957,5.875,,0.559,,0.291,,5.647
1270-18F67aMe16bFEES,C[C@]12CCC3c4ccc(O)cc4CC(C)=C3C1C[C@@H](F)[C@@]2(O)C#C,0.06,0.309,,1.007,,,0.904,1.251,,0.324,,0.178,,6.061
1271A-7a-18F-MDHT,CC12CCC3C4(C)CCC(=O)CC4CC(F)C3C1CCC2(O)C,0.04,0.06,,0.06,,,,0.45,0.05,0.04,,0.04,,
1271B-18F-FMDHT,CC12CCC3C4(C)CCC(=O)CC4CC(F)C3C1CCC2(O)C,0.08,0.38,,,,,0.23,0.3,0.08,0.06,,0.07,,
1274-7a-18F-5,C[C@]12CCC3[C@@]4(C)CCC(=O)C[C@@H]4C[C@@H](CF)C3C1CC[C@@H]2O,0.056,0.3,,,,,0.27,0.54,,0.036,,,,
1274-7a-18F-6,C[C@]12CCC3[C@H]4CCC(=O)C=C4C[C@@H](CF)C3C1CC[C@@H]2O,0.11,0.55,,,,,0.58,0.71,,0.1,,,,
1278-18F3,[C@H]1(O)[C@@H](F)CC2C3C(CC[C@]12C)c1c(cc(O)cc1)C[C@H]3C,0.443,0.336,,0.698,,,1.379,1.889,,0.231,,0.178,,4.397
1278-18F4,C#C[C@]1(O)[C@@H](F)CC2C3C(CC[C@]12C)c1c(cc(O)cc1)C[C@H]3C,0.07,0.156,,1.092,,,0.659,2.118,,0.189,,0.17,,3.281
1278-18F5,[C@H]1(O)[C@@H](F)CC2C3C(CC[C@]12C)c1c(cc(O)cc1)C[C@H]3C,0.689,0.345,,0.728,,,4.957,5.875,,0.559,,0.291,,5.647
1278-18F6,C#C[C@]1(O)[C@H](F)CC2C3C(CC[C@]12C)c1c(cc(O)cc1)C[C@H]3C,0.06,0.309,,1.007,,,0.904,1.251,,0.324,,0.178,,6.061
1279-18F6,C[C@]12CCC3c4ccc(O)cc4CC[C@@]3(CCF)C1CC[C@@H]2O,0.22,0.36,,0.55,0.18,,0.64,1.52,0.39,0.15,,0.15,,0.33
1280-18F11,CC(C)(C)OC(=O)COCCCCCF,,,,,,,,,,,,,,
1280-18F4,CCOC(=O)CC(C)CCCCCF,,,,,,,,,,,,,,
1280-18F5,COC(=O)CC(C)(C)CCCCCF,,,,,,,,,,,,,,
