Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1050-18F3,CCC(c1ccc(O)cc1)C(CF)c1ccc(O)cc1,0.38,0.28,,,,,1.19,1.56,0.35,0.38,,0.17,,4.77
1050-18F4,CCC(c1ccc(O)cc1)C(CCF)c1ccc(O)cc1,0.4,1.1,,,,,0.93,1.25,0.45,0.37,,0.19,,6.17
1051-18F4,COCCc1ccc(OCC(O)CN)cc1,,,,,,,,,,,,,,
1054-18F-1,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@@]1(C)CCC(=O)C2,0.092,0.064,,0.061,,,0.417,1.16,0.111,0.059,,0.048,,
1054-18F-2,[C@@H]12CCC3C4CC[C@H](O)[C@@]4(C)C[C@H](F)C3[C@@]1(C)CCC(=O)C2,0.089,0.068,,0.069,,,0.458,1.812,0.115,0.064,,0.061,,
1056-11C4,COc1c2c(ccc1)C1CC(c3cccs3)(c3cccs3)C2c2cccc[n+]21.[Br-],,,,,,,,,,,,,,
1056-18F2,FCCc1ccc(C2(c3cccs3)CC3c4ccccc4C2c2cccc[n+]23)s1.[Br-],,,,,,,,,,,,,,
1056-18F3,FCCc1ccc(C2(c3cccs3)CC3c4ccccc4C2c2cccc[n+]23)s1.[Br-],,,,,,,,,,,,,,
1059-18F7,O=C(O)CCCCCCCCCCCCCCc1ccc(OCCF)cc1,0.56,,0.1,,0.86,,1.02,0.81,0.95,0.21,0.42,0.57,,
1060-18F-F-,O=C(O)CS(=O)CCCCCCCCCC(F)C(=O)O,0.18,17.6,,,0.2,,0.34,0.21,0.34,,,,,
1060-18F-F,C(=O)(O)C(F)CCCCCCCCCS(CC(=O)O)=O,0.18,17.6,,,0.2,,0.34,0.21,0.34,,,,,
1060-4FDA,CCCCCCC(F)CCC(=O)O,3.97,4.6,,,1.9,,8.5,2.6,1.8,,,,,
1060-F3THA,CCCC(F)CCCCCCCCCSCC(=O)O,2.17,6.8,,,2.3,,5.9,12.6,2.7,,,,,
1060-FDMTTA,CC(C)(CF)CCCCCCCCCSCC(=O)O,1.33,7.3,,,1.4,,1.6,2.0,1.8,,,,,
1060-FTPA,CC(C)(CCF)CCCCCCCCCSCC(=O)O,0.38,12.8,,,1.0,,2.5,1.8,1.2,,,,,
1063-18F-2a,C[C@]12CCC3c4c(cc(O)cc4)C[C@@H](CCCCCCCCCSCCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,3.1,1.45,0.06,0.34,,,2.32,41.1,6.46,0.49,,23.2,,1.83
1063-18F-2b,C[C@]12CCC3c4c(cc(O)cc4)C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,0.61,1.34,0.15,1.32,,,4.37,9.7,3.16,1.52,,1.57,,3.37
1063-18F-2c,C[C@]12CCC3c4c(cc(O)cc4)C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,0.54,1.46,0.14,1.63,,,2.56,7.95,2.08,1.58,,1.47,,2.68
1063-FES,C1CC2C3C(CC[C@]2(C)[C@H]1O)c1c(cc(O)cc1)C[C@H]3CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F,0.19,0.3,0.08,0.67,,,1.71,1.4,0.38,0.33,,0.36,,11.75
