SMILES,logBB
CC(=O)c1cnc2ccc(-c3cc(Cl)c(OCF)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,-0.244125144
CC(=O)N(Cc1ccccc1OCF)c1cnccc1Oc1ccccc1,-0.070581074
CC(=O)OC[C@@]1(C)O[C@](C)(F)[C@](C)(F)[C@@](C)(OC(C)=O)[C@]1(C)OC(C)=O,0.133538908
CC(=O)OC1CCN(CCF)CC1,0.509202522
CC(C)(C)n1ncc(OCc2ccc(COCCF)cc2)c(Cl)c1=O,0.587710965
CC(C)(O)C1CC23CC[C@@]1(OCCF)C1Oc4c(O)ccc5c4[C@@]12CCN(CC1CC1)C3C5,0.167317335
CC(C)[C@@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,0.0
CC(C)[C@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,0.123851641
CC(C)[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1F)C(=O)O,-0.698970004
CC(C)Nc1cc(-c2csc(N(C)C(=O)c3ccc(Br)cc3)n2)ncn1,0.374748346
CC(C)Nc1cc(-c2csc(N(C)C(=O)c3ccc(Cl)cc3)n2)ncn1,0.891537458
CC(C)Nc1cc(-c2csc(N(C)C(=O)c3ccc(I)cc3)n2)ncn1,-0.180456064
CC(C)NCC(O)c1ccc(O)c(O)c1,-0.744727495
CC(C)NCC(O)COc1cccc2c1=NC(=O)N=2,-0.193820026
CC(CCCCCCCCCCCCCCCF)CC(=O)O,-0.259637311
CC(CCCCCCCCCCCCCCF)CC(=O)O,-0.259637311
CC(CCCCCCCCCCCCCF)CCCC(=O)O,-0.366531544
CC(CCCCCCCCCCCCF)CCCC(=O)O,-0.366531544
CC(CCCF)(C(=O)O)C(=O)O,-1.0
CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3)O1,0.352182518
CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3O)O1,1.008600172
CC(CF)C[C@H](N)C(=O)O,-0.031517051
CC(CF)NC[C@@H](O)COc1cccc2ccccc12,0.11058971
CC(CF)NC[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,-0.27572413
CC(CF)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,-0.055517328
CC(CF)NC[C@H](O)COc1cccc2ccccc12,0.525044807
CC(CF)NC[C@H](O)COc1ccccc1C1CCCCC1,0.537819095
CC(F)C(=O)N[C@@H](CCC(=O)O)C(=O)O,-0.236572006
CC(F)C(=O)N[C@@H](CCC(N)=O)C(=O)O,-0.200659451
CC(F)C(=O)NC(Cc1ccc(O)c(O)c1)C(=O)O,-0.292429824
CC(F)C(=O)O,-0.148741651
CC(F)C(=O)OCCn1ccnc1[N+](=O)[O-],-0.15490196
CC(N)(CCF)C(=O)O,-0.408935393
CC(N)(CF)C(=O)O,-0.769551079
CC(N)(F)C(=O)O,-0.568636236
CC(N)Cc1cc2c(cc1F)OCO2,0.374748346
CC(N)Cc1ccccc1F,0.474216264
CC[C@@]1(O)C(=O)OCC2C(=O)N3Cc4cc5cc(OC)ccc5nc4C3CC21,-0.193820026
CC[C@@H](C)N(C)C(=O)c1cc2ccccc2c(-c2cccnc2F)n1,0.222716471
CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)[C@H]1C(=O)CF,0.380211242
CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)C1C(=O)CF,0.401400541
CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(F)[C@H]1C(=O)CF,0.401400541
CC[N+](CC)(CCCCCCCF)CCCCc1ccc(Cl)cc1,-0.397940009
CC1(C)OC2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CF)O1,-0.013228266
CC1(c2cccc(F)c2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CO)O1,0.117271296
CC1(c2ccco2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CF)O1,0.257678575
CC1(c2ccoc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CF)O1,0.257678575
CC1(O)OC(C)(CF)C(C)(O)C(C)(O)C1(C)O,-0.744727495
CC1=NN(Cc2cc(Cl)ccc2/C=C/C(=O)N2CCN(Cc3ccc(OCCF)cc3)C[C@H]2C)NN1,-0.397940009
CC12CC3CC(N)(C1)CC(CF)(C3)C2,0.80140371
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(CCCCCF)cc1,-0.356547324
Cc1c(-c2ccc3c(c2)CN(C(C)C)C3=O)nnn1-c1cccnc1F,0.397940009
Cc1c(CCN2CCOCC2)c2cc(C(=O)CCF)ccc2n1C(=O)c1cccc(Cl)c1Cl,-0.853871964
Cc1c(COC(CO)CF)[nH]c(=O)[nH]c1=O,-0.207608311
Cc1cc(C)cc([P+](CCc2cn(CCF)nn2)(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1,0.397940009
Cc1cc(N)nc(CC(C)F)c1,-0.455931956
CC1CC(n2cc(F)c(=O)[nH]c2=O)OC1CO,-0.48148606
Cc1cc(NCCF)n2ncc(C#N)c2n1,-0.27572413
Cc1cc(NCCNC(=O)c2ccc([N+](=O)[O-])cc2F)n2ncc(C#N)c2n1,-0.744727495
CC1CC23NC2C(c2ccc(F)nc2)CC13,0.26245109
Cc1ccc([C@H]2C[C@H]3CCC(C2C(=O)OCCF)N3C)cc1,0.271841607
Cc1ccc(C(=O)N(C)c2nc(-c3cc(NC(C)C)ncn3)cs2)cc1,1.318063335
Cc1ccc(C(=O)N(C)Cc2cc(-c3ncco3)ccc2-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)cc1,-1.301029996
Cc1ccc(-c2ccc3cc(OC[C@H](O)CF)ccc3n2)cn1,-0.148741651
Cc1ccc(-c2csc(N3CCN(C(=O)Nc4onc(C)c4C)CC3)n2)c(F)c1,1.875061263
Cc1ccc(CNC(=N)N)cc1,0.041392685
Cc1ccc(O)cc1C[C@H](N)C(=O)O,0.008600172
Cc1ccc(S(=O)(=O)OCCOCCF)cc1,-0.37675071
Cc1ccc2c(=O)n(-c3ccc(OCCF)cc3)c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc2c1,0.269512944
Cc1ccc2c(=O)n(-c3ccc(OCF)cc3)c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc2c1,0.397940009
Cc1ccc2nc(-c3ccc(F)cc3)sc2c1,-0.522878745
Cc1ccccc1-c1ccc(-c2nc(-c3ccc(CN(C)CCC(=O)O)c(F)c3)no2)cc1C(F)(F)F,0.408239965
Cc1ccccc1C1CCN([C@@H]2C[C@@H]3CCCC[C@H]3C[C@@H]2O)CC1,1.246498581
Cc1ccccc1C1CCN([C@H]2C[C@@H]3CCCC[C@H]3C[C@@H]2O)CC1,1.432006687
Cc1ccccc1C1CCN(C2C[C@H]3CCCC[C@@H]3CC2O)CC1,1.119585775
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,-0.769551079
Cc1ncc([N+](=O)[O-])n1CCF,0.0
Cc1ncc([N+](=O)[O-])n1CCOC(=O)C(C)F,-0.13076828
Cc1ncccc1CC(=O)N1CCC(c2nnc(-c3ccccc3F)[nH]2)CC1,0.800717078
Cc1onc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)c2cc3ccccc3n2C)c1C,-1.301029996
CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccc(F)cc2)CC1,-0.337242168
CCC(C)(N)C(=O)O,-0.698970004
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,-0.013228266
CCc1cc(Cl)c(OC)c(C(=O)NCC2C[C@H](F)CN2CC)c1O,0.10720997
CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CCCF)c1O,0.340444115
CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CCF)c1O,-0.070581074
CCc1cc2cc(C(=O)[C@H]3CC[C@@H](OC)CC3)ccc2nc1C,-0.214670165
CCc1cc2cc(C(=O)[C@H]3CC[C@@H](OC)CC3)ccc2nc1F,-0.142667504
CCc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCF,-0.236572006
CCCC1=CC2C(C(O)CC3(C)C2CC[C@@]3(O)C#CCF)C2(C)C=CC(=O)C=C12,-0.657577319
CCCCC(F)CCC(=O)O,-0.552841969
CCCCc1ccc(NS(=O)(=O)c2ccc(C)c(C(=O)N3CCN(c4ccccc4I)CC3)c2)cc1,-1.397940009
CCCCc1nc(Cl)c(Cn2cc(C[N+](C)(C)C[B-](F)(F)F)nn2)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.920818754
CCCCCC[C@H](F)[C@H](F)CCCCCCCC(=O)O,-0.568636236
CCCCCCCCC(F)CCCCC1CC1CC(=O)O,-0.200659451
CCCCCCCCCC(F)CCCCC(C)CC(=O)O,-0.327902142
CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(I)cc1C,-0.026872146
CCCCOc1c(OC)ccc2cc(C(=O)NC3CCCCC3)c(=O)[nH]c12,-1.698970004
CCCN(CCC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nc2c(Cl)cc(Cl)cn12,0.021189299
CCCn1c(=O)c2c(nc(C3CCCC3)n2COC(=O)C(C)(C)C)n(CCCOS(=O)(=O)c2ccc(C)cc2)c1=O,0.0
CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nn2c(C)cc(C)nc12,0.204119983
CCN(CC)c1ccc2cc3ccc(N(CC)CCF)cc3nc2c1,-0.22184875
CCN(CC)CCNC(=O)C(C)F,0.547774705
CCN(CC)CCNC(=O)c1cc(F)ccn1,0.170261715
CCN(CC)CCNC(=O)c1ccc(F)cc1,0.361727836
CCN(CC)CCNC(=O)c1ccc(F)cn1,0.484299839
CCN(CC)CCNC(=O)c1ccc(F)nc1,0.530199698
CCN(CC)CCNC(=O)c1ccc(NC(=O)c2ccc(F)cn2)cc1OC,-0.387216143
CCN(CC)CCNC(=O)c1ccc(OC)cc1,0.056904851
CCN(CC)CCNC(=O)c1ccc(OCCOCCOCCF)cc1,-0.148741651
CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,-0.292429824
CCN(CCCCF)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C,-0.327902142
CCN(CCNC(=O)c1cnc2cc(I)ccc2n1)CCOCCOCCOCCF,0.10720997
CCN(CCNC(=O)c1cnc2cc(I)ccc2n1)CCOCCOCCOCCOCCOCCOCCOCCF,-0.045757491
CCN1CCC[C@@H]1CNC(=O)c1cc(I)cc(OC)c1OCCF,-1.301029996
CCN1CCC[C@H]1CNC(=O)c1cc(CCF)cc2c1OCC2,-0.214670165
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-0.193820026
CCOC(=O)CCC(C)CCCCF,-0.096910013
CCOC(=O)CF,-0.167491087
CCSC(=O)c1c(CC)nc(-c2ccccc2)c(C(=O)OCCF)c1CC,0.720985744
CN(C(=O)Cn1c(=O)oc2ccc(-c3ccc(F)cc3)cc21)c1ccccc1,-0.124938737
CN(C(=O)Cn1c(=O)oc2ccc(-c3ccc(OCCF)cc3)cc21)c1ccccc1,-0.036212173
CN(C)c1ccc(/C=C/C(=O)/C=C(/C=C/c2ccc(OCCOCCF)cc2)OB(F)F)cc1,-0.468521083
CN(C)c1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,0.294466226
CN(C)c1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,-0.148741651
CN(C)c1ccc(/C=C/c2cn(CCF)nn2)cc1,-0.387216143
CN(C)c1ccc(/C=C/c2nc3ccc(I)cc3[nH]2)cc1,-0.585026652
CN(C)c1ccc(/C=C2\C(=O)Nc3ccc(I)cc32)cc1,-0.193820026
CN(C)c1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,-0.795880017
CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOF)cc3s2)cc1,-0.026872146
CN(C)c1ccc(-c2cc(=O)c3cc(OCCF)ccc3o2)cc1,-0.173925197
CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCF)ccc3o2)cc1,-0.142667504
CN(C)c1ccc(-c2cc(=O)c3cc(OCCOCCOCCF)ccc3o2)cc1,-0.13667714
CN(C)c1ccc(-c2cc3cc(OC[C@@H](O)CF)ccc3o2)cc1,0.285557309
CN(C)c1ccc(-c2cc3cc(OC[C@H](O)CF)ccc3o2)cc1,0.356025857
CN(C)c1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cn1,0.089905111
CN(C)c1ccc(-c2ccc3cc(OC[C@@H](O)CF)ccc3n2)cc1,0.290034611
CN(C)c1ccc(-c2ccc3cc(OC[C@H](O)CF)ccc3n2)cc1,0.463892989
CN(C)c1ccc(-c2nc3cc(OCCF)ccc3o2)cn1,-0.148741651
CN(C)c1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cc1,-0.193820026
CN(C)c1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cn1,-0.200659451
CN(C)c1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cn1,-0.30980392
CN(C)c1ncc(/C=C/c2nc3ccc(OC(CO)CF)cc3o2)s1,-0.356547324
CN(C)c1ncc(/C=C/c2nc3ccc(OCCF)cc3o2)s1,-0.096910013
CN(C)Cc1cc(OCCCF)ccc1Sc1ccccc1N,0.73239376
CN(C)Cc1cc(OCCOCCF)ccc1Sc1ccccc1N,0.378397901
CN(C)Cc1ccccc1Sc1cc(F)c(Cl)cc1N,-0.823908741
CN(C)Cc1ccccc1Sc1cc(F)ccc1N,0.068185862
CN(C)Cc1ccccc1Sc1ccc(CCCF)cc1N,-0.113509275
CN(C)Cc1ccccc1Sc1ccc(CCF)cc1N,0.361727836
CN(C)Cc1ccccc1Sc1ccc(CF)cc1N,0.62838893
CN(C)Cc1ccccc1Sc1ccc(F)cc1N,-0.346787486
CN(C)CCNC(=O)c1ccc(F)cn1,-0.119186408
CN(C)CCNC(=O)c1ccc(F)nc1,0.243038049
CN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,-0.045757491
CN(Cc1ccccc1)C(=O)c1nc2ccccc2c(-c2ccccc2)c1CF,0.921166051
CN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,-0.301029996
CN(CCF)c1ccc(/C=C/c2nc3ccccc3o2)cc1,-0.102372909
CN(CCF)c1ccc(-c2cc3ccccc3[nH]2)cc1,-0.200659451
CN(CCOc1ccc(CC(OCCF)C(=O)O)cc1)c1nc2ccccc2o1,-1.397940009
CN[C@@](C)(F)C(=O)O,-0.677780705
CN[C@](C)(F)C(=O)O,-0.677780705
CN1C(=O)CCC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,-0.259637311
CN1C2CC[C@@H]1C[C@H](c1ccc(Cl)cc1)C2C(=O)OCCF,1.183269844
CN1C2CC[C@@H]1C[C@H](c1ccc(I)cc1)[C@@H]2C(=O)OCCF,0.683947131
CN1C2CCC1C(C(=O)OCCF)C(c1ccc(Br)cc1)C2,1.476541809
Cn1cc(C[C@@H](N)C(=O)O)c2ccccc21,-0.327902142
Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,-0.207608311
CN1CC=C(c2ccccc2CF)CC1,0.322219295
CN1CCC(OC(=O)c2ccc(F)cc2)CC1,0.267171728
CN1CCC=C(c2nsnc2SCCCF)C1,0.562292864
CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,-0.455931956
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.745074792
Cn1ncc2c(-c3nc(N4CCOCC4)c4sc(CN5CCN(S(C)(=O)=O)CC5)cc4n3)cccc21,-0.795880017
CNC(C)(CF)C(=O)O,-0.568636236
CNC(C)(F)C(=O)O,-0.769551079
CNC(C)Cc1ccc2c(c1)OCO2,-0.180456064
CNC(C)Cc1ccccc1,0.677606953
CNc1ccc(/C=C/C=C/c2nc3ccc(O)cc3s2)cn1,-0.602059991
CNc1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,-0.397940009
CNc1ccc(/C=C/c2ccc(OCCOCCF)cc2)cc1,-0.193820026
CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cc1,0.103803721
CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cn1,0.193124598
CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cn1,0.1430148
