compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1477-4-Br18FPN,O=[N+]([O-])c1nc(Br)cn1CCCBr,12033502,C3H mouse,female,20.0,58.0,-0.32,0.17,0.23,1.47,,0.96,,,,0.32,,,0.26,,,1477,10.1248/bpb.25.616
1481-18FCFT,COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2C,8855517,SD rat,,251.0,1540.0,,,,,,,,,,,,,,,,1481A,10.1002/(SICI)1098-2396(199608)23:4<321::AID-SYN10>3.0.CO;2-#
1486-18FCNPFH,N#Cc1cc(C(=O)NCC(=O)O)ccc1F,22898317,SD rat,female,210.0,10.8,,,0.03,0.04,0.01,0.44,0.0,0.01,0.89,,0.2,,0.0,,,1486,10.1016/j.nucmedbio.2012.07.002
1488B-18F-SKI-249380,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCF)CC2)n1,21161687,NOD-SCID mouse,male,,200.0,,0.4,,7.9,0.5,0.8,26.8,,,9.5,,,0.4,,,1488B,10.1007/s11307-010-0462-2
1489-18FDCFBC,O=C(O)CC[C@@H](NC(=O)N[C@@H](CSCc1ccc(F)cc1)C(=O)O)C(=O)O,18483369,NOD-SCID mouse,,18.0,100.0,,,1.8,5.1,1.1,41.6,0.6,1.6,0.66,1.7,0.5,,0.8,1.0,,1489,10.1158/1078-0432.CCR-07-1517
1489-DCFBC,O=C(O)CC[C@H](NC(=O)NC(CSCc1ccc(F)cc1)C(=O)O)C(=O)O,18483369,NOD-SCID mouse,,18.0,100.0,,,1.8,5.1,1.1,41.6,0.6,1.6,0.66,1.7,0.5,,0.8,1.0,,1489,10.1158/1078-0432.CCR-07-1517
1490-18F3,O=C(O)CC[C@H](NC(=O)NC(CCCCNC(=O)c1ccc(F)nc1)C(=O)O)C(=O)O,22042970,NOD-SCID mouse,,,100.0,,,0.24,2.87,0.55,42.3,0.61,2.7,0.35,0.42,0.35,,0.2,,0.26,1490,10.1158/1078-0432.CCR-11-1357
1491-18F-DDRT,CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3)O1,,Fischer rat,female,250.0,65.0,0.81,0.18,0.08,,,,,,,0.45,,,0.77,,,1491,10.1002/(SICI)1099-1344(199911)42:11<1039::AID-JLCR259>3.0.CO;2-1
1491-18F-DHRT,CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3O)O1,,Fischer rat,female,250.0,87.0,2.32,0.51,0.05,,,,,,,0.31,,,3.17,,,1491,10.1002/(SICI)1099-1344(199911)42:11<1039::AID-JLCR259>3.0.CO;2-1
1495-11CCHO,C[N+](C)(C)CCO,15464386,Nu/nu mouse,,25.0,,,,,,,,,,,,,,,,,1495,10.1016/j.nucmedbio.2004.05.004
1495-18FdOC,C[N+](C)(C)CCF,15464386,Nu/nu mouse,,25.0,,,,,,,,,,,,,,,,,1495,10.1016/j.nucmedbio.2004.05.004
1496E-18F-1,CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nn2c(C)cc(C)nc12,22172392,swiss mouse,male,36.0,54.0,0.47,0.8,0.5,12.1,,45.7,,,,2.9,,,17.4,,,1496E,10.1016/j.nucmedbio.2011.10.012
1497A-11CDPN,CO[C@]12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)C2O5,10914922,mouse,male,25.0,486.0,0.97,2.27,0.86,,,,,,,0.62,,,,,,1497A,
1497A-18F-DPN,CC(C)(O)C1CC23CC[C@@]1(OCCF)C1Oc4c(O)ccc5c4[C@@]12CCN(CC1CC1)C3C5,10914922,mouse,male,25.0,5000.0,0.39,1.96,1.33,9.93,,2.22,1.01,,27.5,0.82,,,,,,1497A,
1499B-EF3,O=C(Cn1ccnc1[N+](=O)[O-])NCCC(F)(F)F,15197503,C3H mouse,male,25.0,,,,,,,,,,,,,,,,,1499B,10.1007/s00259-004-1573-2
1500-18FEFA,CCOC(=O)CF,19217527,ddY mouse,,18.0,1.0,-0.39,6.41,9.46,7.48,8.63,,,,,10.66,,,10.92,,,1500,10.1016/j.nucmedbio.2008.11.006
1500-18FFA,O=C([O-])CF,19217527,ddY mouse,,18.0,1.0,-0.37,5.13,7.46,5.49,6.17,,,,,10.27,,,7.56,,,1500,10.1016/j.nucmedbio.2008.11.006
1503-18FFBB,O=C1NC2CSC(CCCCNC(=O)c3ccc(F)cc3)C2N1,20838908,BALB/c mouse,,18.0,10.0,,,0.86,7.3,,6.42,1.7,,21.12,1.54,,,,,,1503,10.1007/s11307-010-0418-6
1505A-FFMMT,NC(C(=O)O)/C(=C/F)c1ccc(F)c(O)c1,1477728,ICR mouse,male,27.0,150.0,-0.49,0.51,0.83,0.35,0.5,2.24,,,,0.31,,,0.46,,,1505A,10.1016/0006-8993(92)91518-J
1509B-11C-pipzA-4,CCN1CCN(CC(O)c2ccc(-c3ccc(C(O)CN4CCC(C)CC4)cc3)cc2)CC1,12571220,NMRI mouse,male,35.0,100.0,,,,,,,,,,,,,,,,1509B,
1509B-18F-FA-4,CC1CCN(CC(O)c2ccc(-c3ccc(C(O)CN4CCC(CF)CC4)cc3)cc2)CC1,12571220,NMRI mouse,male,35.0,1.0,,,,,,,,,,,,,,,,1509B,
1510B-18F-FAA,O=C(O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCF,8913504,Wistar rat,male,250.0,10.0,0.48,0.23,0.14,1.9,1.47,1.03,,,0.67,0.28,,,1.24,,,1510B,10.1248/bpb.19.1316
1510B-18F-FAAEster,COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCF,8913504,Wistar rat,male,250.0,10.0,-0.03,0.26,0.27,2.57,1.06,1.36,,,0.68,0.78,,,0.68,,,1510B,10.1248/bpb.19.1316
1512B-18F-facbc,N[C@]1(C(=O)O)C[C@@H](F)C1,17204698,Fischer rat,male,150.0,200.0,-0.11,0.27,0.3,1.12,0.58,0.62,0.34,0.63,0.46,0.41,,,0.46,,2.42,1512B,
1512B-18F-FDG,OC[C@@H]1O[C@@H](O)[C@H](F)[C@H](O)[C@@H]1O,17204698,Fischer rat,male,150.0,200.0,2.29,2.26,0.23,0.26,0.64,0.56,0.16,0.86,0.84,0.57,,,2.04,,0.34,1512B,
1513C-18F-FAC,O=C(O)CF,17332620,Nu/nu mouse,male,21.0,11.0,,,,,,,,,,,,,,,,1513C,
1513I-18F-fluoroacetate,O=C(O)CF,22019094,SD rat,male,210.0,1351.0,,1.36,,1.42,1.46,1.41,,1.34,1.66,,1.08,,1.71,,1.02,1513I,10.1016/j.apradiso.2011.09.025
1515A- 4-18F-ADAM,CN(C)Cc1ccccc1Sc1ccc(F)cc1N,14660713,SD rat,male,295.0,40000.0,-0.79,0.95,2.09,5.14,0.5,1.69,11.29,0.15,,21.38,,,0.08,,,1515A,
1516A-18FFAG,OCC1OC(O)C(NCOCF)C(O)C1O,2213188,C3H mouse,male,35.0,10.5,-1.21,0.49,1.65,3.71,1.16,3.27,0.73,0.73,1.44,,,,0.86,,0.69,1516A,
1518A-18Ffallypride,C=CCN1CCC[C@@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,7627142,SD rat,male,160.0,75.0,-0.65,0.36,0.69,3.31,0.2,0.44,5.37,0.1,,4.96,,,0.05,,,1518A,10.1016/0969-8051(94)00117-3
1521B-18FAZA,O=[N+]([O-])c1nccn1[C@H]1O[C@H](CF)C(O)[C@@H]1O,15632040,Nu/nu mouse,female,22.0,,-0.41,0.6,0.9,2.47,1.05,2.38,2.03,0.94,1.76,0.74,1.19,,1.14,,,1521B,
1521C-124I-IAZA,O=[N+]([O-])c1nccn1[C@H]1O[C@H](CI)[C@H](O)C1O,17706178,BALB/c mouse,female,17.0,487.0,,,,,,,,,,,,,,,,1521C,
1521C-18F-FMISO,O=[N+]([O-])c1nccn1CC(O)CF,17706178,BALB/c mouse,female,17.0,487.0,,,,,,,,,,,,,,,,1521C,
1523-18F-folate,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)NCc4ccc(F)cc4)cc3)nc2c(=O)[nH]1,16818950,Foxn1nu mouse,female,19.0,13.5,,,,,,,,,,,,,,,,1523,
1526D-18FFBAU,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)C(O)[C@H]2F)cc1Br,18589308,CD-1 mouse,male,30.0,54.0,-1.39,0.04,0.16,,,,,0.13,0.42,,,,,,,1526D,10.1016/j.nucmedbio.2008.04.004
